Age,BusinessTravel,Department,DistanceFromHome,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,YearsAtCompany
19,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,4,1102,No,1
20,Travel_Rarely,Sales,2,Medical,Female,1,Sales Representative,3,2044,No,2
28,Travel_Frequently,Research & Development,2,Medical,Male,1,Laboratory Technician,1,2561,No,0
28,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,3,3485,No,0
28,Travel_Rarely,Research & Development,2,Medical,Male,1,Research Scientist,3,4382,No,2
31,Travel_Frequently,Sales,2,Life Sciences,Female,1,Sales Representative,4,2785,No,1
32,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,2,1393,No,1
33,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,1,2707,No,9
38,Travel_Rarely,Research & Development,2,Medical,Male,2,Manufacturing Director,2,4855,No,5
39,Travel_Frequently,Research & Development,2,Life Sciences,Male,4,Healthcare Representative,4,12169,No,18
55,Travel_Rarely,Sales,2,Medical,Male,2,Sales Executive,4,5160,No,9
26,Travel_Frequently,Research & Development,2,Life Sciences,Male,1,Research Scientist,1,2042,Yes,3
28,Travel_Rarely,Research & Development,2,Medical,Male,1,Research Scientist,4,3464,Yes,3
31,Travel_Frequently,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,4,3722,Yes,2
35,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,1,2074,Yes,1
39,Non-Travel,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,1,3646,Yes,1
41,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,4,2778,Yes,7
55,Travel_Rarely,Research & Development,2,Medical,Male,5,Manager,1,19859,Yes,5
58,Travel_Frequently,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,4,2380,Yes,1
58,Travel_Rarely,Research & Development,2,Life Sciences,Male,5,Research Director,2,19246,Yes,31
28,Travel_Frequently,Research & Development,1,Medical,Male,1,Laboratory Technician,2,2596,No,1
30,Travel_Rarely,Sales,1,Life Sciences,Male,2,Sales Executive,1,9714,No,10
31,Travel_Frequently,Research & Development,1,Life Sciences,Female,3,Manufacturing Director,2,7446,No,10
31,Travel_Frequently,Sales,1,Life Sciences,Female,1,Sales Representative,3,1359,No,1
32,Travel_Rarely,Sales,1,Life Sciences,Male,2,Sales Executive,2,6735,No,0
37,Travel_Rarely,Sales,1,Life Sciences,Male,3,Sales Executive,3,10609,No,14
44,Travel_Rarely,Human Resources,1,Medical,Male,3,Human Resources,1,10482,No,20
50,Travel_Frequently,Sales,1,Life Sciences,Male,2,Sales Executive,3,6728,No,6
24,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,4,2293,Yes,2
28,Travel_Rarely,Research & Development,1,Life Sciences,Female,1,Research Scientist,2,2216,Yes,7
29,Travel_Rarely,Research & Development,1,Life Sciences,Female,1,Laboratory Technician,1,2319,Yes,1
29,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,4,4787,Yes,2
29,Travel_Rarely,Sales,1,Medical,Female,1,Sales Representative,3,2800,Yes,3
31,Travel_Frequently,Sales,1,Life Sciences,Female,1,Sales Representative,2,2302,Yes,3
32,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,3,3730,Yes,3
41,Travel_Rarely,Sales,1,Life Sciences,Female,2,Sales Executive,4,5993,Yes,6
44,Travel_Frequently,Research & Development,1,Medical,Male,1,Research Scientist,2,2342,Yes,5
48,Travel_Rarely,Research & Development,1,Life Sciences,Male,3,Laboratory Technician,3,5381,Yes,1
